City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
210,Barabai,ID,72.07,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
216,Salalah,OM,73.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
220,Kaeo,NZ,76.32,overcast clouds,-35.1,173.7833,Bushido Lodge
222,Meulaboh,ID,75.52,overcast clouds,4.1363,96.1285,Kost Pria
226,Chinna Salem,IN,71.26,broken clouds,11.65,78.9,SVA Lodge
230,Sambava,MG,75.4,light rain,-14.2667,50.1667,Melrose
231,Sampit,ID,73.24,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
234,San Quintin,MX,70.99,clear sky,30.4833,-115.95,Don Eddie's Landing
236,Vao,NC,80.65,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
238,Inhambane,MZ,74.79,clear sky,-23.865,35.3833,Oceano
239,Necochea,AR,80.04,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
242,Coruripe,BR,80.58,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
250,Itarema,BR,79.63,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
251,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
255,Inongo,CD,77.72,broken clouds,-1.95,18.2667,Hotel Du Lac
258,Sena Madureira,BR,78.49,overcast clouds,-9.0656,-68.6569,Hotel Central
259,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
262,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
267,Sainte-Rose,GP,80.64,overcast clouds,16.3324,-61.6979,Villa - Duzer
268,Karratha,AU,83.68,few clouds,-20.7377,116.8463,ibis Styles Karratha
273,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
274,Boa Vista,BR,93.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
277,Ahipara,NZ,74.82,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
278,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
279,Yaring,TH,74.98,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
280,Omboue,GA,77.77,light rain,-1.5746,9.2618,Hotel Olako
281,Takoradi,GH,79.45,clear sky,4.8845,-1.7554,Raybow International Hotel
287,Rocha,UY,72.05,clear sky,-34.4833,-54.3333,Hotel Arrarte
289,Palauig,PH,76.23,broken clouds,15.435,119.9045,Alperi Botique Resort
292,Nanakuli,US,80.55,clear sky,21.3906,-158.1547,Camp Pālehua
294,Alenquer,BR,80.94,overcast clouds,-1.9417,-54.7383,Detinha Hotel
295,Monrovia,LR,78.57,clear sky,6.3005,-10.7969,Sunset Inn
298,Champerico,GT,93.74,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
300,Kudahuvadhoo,MV,80.96,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
301,Kalmunai,LK,75.33,overcast clouds,7.4167,81.8167,VS Villa
303,Eureka,US,80.2,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
310,Cienfuegos,CU,84.34,broken clouds,22.1461,-80.4356,Casa Claumar B2BPay
311,Cabo San Lucas,MX,78.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
312,La Plata,AR,84.99,clear sky,-34.9215,-57.9545,Hotel Corregidor
313,Sinnamary,GF,76.89,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
314,Nuqui,CO,86.7,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
316,Mogadishu,SO,76.51,few clouds,2.0371,45.3438,Hotel Juba
317,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
318,Petrolina,BR,86.05,light rain,-9.3986,-40.5008,JB Hotel
322,Apomu,NG,75.9,few clouds,7.3333,4.1833,"Albirr Charity Foundation, Islamiyyah, Ikire"
331,Santa Cruz,BO,91.45,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
335,Kiunga,PG,72.34,light rain,-6.1219,141.2906,Airport Lodge Kiunga
343,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
348,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
350,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
351,Lubao,PH,79.14,broken clouds,14.9167,120.55,Hacienda Gracia
358,La Union,PE,78.57,overcast clouds,-5.4,-80.75,Los Portales
360,Moron,AR,86.95,clear sky,-34.6534,-58.6198,Hotel Morón
362,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
366,Iquitos,PE,89.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
367,El Retorno,CO,86.67,broken clouds,2.3302,-72.6276,Hostal la posada de Rita
374,Kuching,MY,73.62,light rain,1.55,110.3333,The Ranee Boutique Suites
376,Cacoal,BR,77.81,broken clouds,-11.4386,-61.4472,Hotel BR 364
380,Paita,PE,81.16,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
381,Basco,PH,74.82,broken clouds,20.4487,121.9702,Nathaniel's Lodge
383,Alyangula,AU,73.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
387,Laguna,US,78.22,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
389,Albina,SR,75.4,broken clouds,5.5,-54.05,Hudace
392,Salinopolis,BR,78.69,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
395,George Town,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
402,Puerto Colombia,CO,86.09,few clouds,10.9878,-74.9547,Hotel El Emigrante
403,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
404,Koumac,NC,80.46,overcast clouds,-20.5667,164.2833,Le Monitel
406,Gold Coast,AU,76.03,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
409,Bandarbeyla,SO,73.71,few clouds,9.4942,50.8122,JABIR HOTEL
411,Farafangana,MG,75.79,few clouds,-22.8167,47.8333,Miarina
