City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Hualmay,PE,-11.0964,-77.6139,73.4,71,87,8.12,overcast clouds
169,Te Anau,NZ,-45.4167,167.7167,68.25,62,18,2.28,few clouds
170,Aitape,PG,-3.1374,142.3475,78.31,88,98,3.53,overcast clouds
171,Zhanaozen,KZ,43.3,52.8,35.51,76,100,17.11,overcast clouds
172,Fortuna,US,40.5982,-124.1573,79.93,43,0,1.01,clear sky
173,Khryashchevka,RU,53.8119,49.0916,19.38,97,96,4.21,overcast clouds
174,Tulun,RU,54.5611,100.5792,-30.69,100,100,2.08,overcast clouds
175,Dingle,PH,10.9995,122.6711,75.52,84,98,9.46,overcast clouds
176,Maceio,BR,-9.6658,-35.7353,81.84,69,0,13.8,clear sky
177,Esperance,AU,-33.8667,121.9,75.04,43,24,17.81,few clouds
178,Ballina,AU,-28.8667,153.5667,71.56,83,75,8.05,broken clouds
179,Batemans Bay,AU,-35.7167,150.1833,68.2,78,99,6.51,overcast clouds
180,Lebu,CL,-37.6167,-73.65,59.61,69,47,27.0,scattered clouds
181,Qui Nhon,VN,13.7667,109.2333,72.45,89,62,7.14,broken clouds
182,Adrar,MR,20.5022,-10.0711,65.19,16,53,13.0,broken clouds
183,Buckingham,GB,51.9997,-0.9878,39.51,81,7,12.62,clear sky
184,Ampanihy,MG,-24.7,44.75,74.05,83,63,12.71,broken clouds
185,Cabrobo,BR,-8.5142,-39.31,87.53,37,100,8.72,overcast clouds
186,Cuamba,MZ,-14.8031,36.5372,70.11,94,100,0.58,light rain
187,Avarua,CK,-21.2078,-159.775,82.45,74,100,10.36,overcast clouds
188,Ancud,CL,-41.8697,-73.8203,63.43,52,10,11.63,clear sky
189,Taoudenni,ML,22.6783,-3.9836,63.84,20,49,12.39,scattered clouds
190,Sept-Iles,CA,50.2001,-66.3821,28.92,93,100,6.91,overcast clouds
191,Iqaluit,CA,63.7506,-68.5145,-5.31,76,100,3.44,light snow
192,Portales,US,34.1862,-103.3344,60.03,23,4,2.33,clear sky
193,Hamilton,US,39.1834,-84.5333,46.65,53,20,14.97,few clouds
194,Gardez,AF,33.5974,69.2259,15.31,51,7,3.22,clear sky
195,Vanimo,PG,-2.6741,141.3028,78.57,86,100,1.74,overcast clouds
196,Topola,RS,44.2542,20.6825,42.75,75,0,3.98,clear sky
197,Mittagong,AU,-34.45,150.45,60.85,90,99,5.12,overcast clouds
198,Tezu,IN,27.9167,96.1667,56.35,65,96,2.93,overcast clouds
199,Coquimbo,CL,-29.9533,-71.3436,71.33,60,75,8.05,broken clouds
200,Baglung,NP,28.2719,83.5898,45.52,62,42,5.57,scattered clouds
201,Shevchenkove,UA,49.6959,37.1735,35.38,85,89,9.53,overcast clouds
202,Namtsy,RU,62.7161,129.6658,-21.89,100,48,3.94,scattered clouds
203,Broome,US,42.2506,-75.833,40.69,68,100,10.36,overcast clouds
204,Zyryanka,RU,65.75,150.85,-39.19,98,39,5.26,scattered clouds
205,Atambua,ID,-9.1061,124.8925,72.27,89,100,1.45,overcast clouds
206,Kavieng,PG,-2.5744,150.7967,80.94,81,73,6.67,moderate rain
207,Carauari,BR,-4.8828,-66.8958,79.09,92,98,2.13,overcast clouds
208,Port Elizabeth,ZA,-33.918,25.5701,66.49,77,0,5.75,clear sky
209,Latung,PH,5.5,120.8833,81.1,79,100,1.97,overcast clouds
210,Barabai,ID,-2.5833,115.3833,72.07,97,98,1.05,overcast clouds
211,Codrington,AU,-38.2667,141.9667,62.47,68,56,15.46,broken clouds
212,Tasiilaq,GL,65.6145,-37.6368,17.76,57,48,6.73,scattered clouds
213,Aksha,RU,50.2814,113.2867,-2.61,79,99,7.83,overcast clouds
214,Berlevag,NO,70.8578,29.0864,22.95,74,0,18.41,clear sky
215,Thunder Bay,CA,48.4001,-89.3168,19.99,80,100,9.22,overcast clouds
216,Salalah,OM,17.0151,54.0924,73.49,64,40,2.3,scattered clouds
217,Egvekinot,RU,66.3167,-179.1667,-24.68,88,29,3.42,scattered clouds
218,Provideniya,RU,64.3833,-173.3,-7.49,64,0,4.47,clear sky
219,Decatur,US,39.8403,-88.9548,37.65,63,25,9.06,scattered clouds
220,Kaeo,NZ,-35.1,173.7833,76.32,98,100,7.23,overcast clouds
221,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,100,18.41,light snow
222,Meulaboh,ID,4.1363,96.1285,75.52,84,100,2.8,overcast clouds
223,Lichuan,CN,30.3,108.85,34.48,99,100,1.32,light snow
224,Torbay,CA,47.6666,-52.7314,35.49,87,20,8.05,few clouds
225,Dinajpur,BD,25.6272,88.6386,62.24,72,0,4.5,clear sky
226,Chinna Salem,IN,11.65,78.9,71.26,80,67,7.34,broken clouds
227,Severo-Kurilsk,RU,50.6789,156.125,25.29,77,81,7.52,broken clouds
228,Jetpur,IN,21.7333,70.6167,64.71,34,0,8.55,clear sky
229,Kodiak,US,57.79,-152.4072,27.91,86,100,3.44,overcast clouds
230,Sambava,MG,-14.2667,50.1667,75.4,89,35,4.97,light rain
231,Sampit,ID,-2.5333,112.95,73.24,97,100,2.04,overcast clouds
232,Geraldton,AU,-28.7667,114.6,68.41,83,22,6.91,few clouds
233,Alice Springs,AU,-23.7,133.8833,60.35,82,0,5.75,clear sky
234,San Quintin,MX,30.4833,-115.95,70.99,28,0,6.98,clear sky
235,Vidim,RU,56.4088,103.1106,-26.46,100,56,2.68,broken clouds
236,Vao,NC,-22.6667,167.4833,80.65,89,100,37.54,moderate rain
237,Scarborough,GB,54.2797,-0.4044,41.67,72,76,8.01,broken clouds
238,Inhambane,MZ,-23.865,35.3833,74.79,78,0,7.9,clear sky
239,Necochea,AR,-38.5473,-58.7368,80.04,46,36,12.97,scattered clouds
240,Yueyang,CN,29.3333,113.0919,40.82,96,100,5.95,overcast clouds
241,Korla,CN,41.7597,86.1469,26.42,52,9,4.54,clear sky
242,Coruripe,BR,-10.1256,-36.1756,80.58,71,6,14.34,clear sky
243,Saint George,US,37.1041,-113.5841,68.47,27,2,1.99,clear sky
244,Bay Roberts,CA,47.5999,-53.2648,36.25,82,29,1.99,scattered clouds
245,Australind,AU,-33.2667,115.7167,62.06,49,0,2.17,clear sky
246,Bismarck,US,46.8083,-100.7837,49.06,67,40,27.63,scattered clouds
247,Cap-Aux-Meules,CA,47.3821,-61.8597,30.25,100,100,10.36,overcast clouds
248,Thompson,CA,55.7435,-97.8558,-9.24,70,100,17.27,overcast clouds
249,Dwarka,IN,22.2394,68.9678,69.3,49,0,12.84,clear sky
250,Itarema,BR,-2.9248,-39.9167,79.63,75,65,9.24,broken clouds
251,Touros,BR,-5.1989,-35.4608,85.1,71,43,14.09,scattered clouds
252,Dabhoi,IN,22.1833,73.4333,64.29,43,0,9.62,clear sky
253,Puri,IN,19.8,85.85,68.52,72,12,6.91,few clouds
254,Chapais,CA,49.7834,-74.8492,17.38,91,100,11.07,overcast clouds
255,Inongo,CD,-1.95,18.2667,77.72,61,83,4.63,broken clouds
256,Dutlwe,BW,-23.9833,23.9,78.1,40,38,10.04,scattered clouds
257,Huilong,CN,31.8111,121.655,45.03,79,85,6.98,overcast clouds
258,Sena Madureira,BR,-9.0656,-68.6569,78.49,95,93,2.17,overcast clouds
259,Nouadhibou,MR,20.931,-17.0347,75.18,50,98,9.22,overcast clouds
260,Beringovskiy,RU,63.05,179.3167,-25.51,93,26,4.52,scattered clouds
261,La Rioja,ES,42.25,-2.5,42.04,67,100,5.19,overcast clouds
262,Saint-Pierre,RE,-21.3393,55.4781,74.88,78,0,3.44,clear sky
263,Clyde River,CA,70.4692,-68.5914,-19.97,76,100,9.22,light snow
264,Goma,CD,-1.6792,29.2228,63.05,76,47,2.57,scattered clouds
265,Polson,US,47.6936,-114.1632,41.25,95,96,4.65,overcast clouds
266,Constitucion,CL,-35.3333,-72.4167,64.02,65,100,7.81,overcast clouds
267,Sainte-Rose,GP,16.3324,-61.6979,80.64,61,100,9.22,overcast clouds
268,Karratha,AU,-20.7377,116.8463,83.68,75,13,9.95,few clouds
269,Snezhnogorsk,RU,69.1933,33.2531,26.38,98,95,7.92,overcast clouds
270,Grindavik,IS,63.8424,-22.4338,32.47,74,75,18.41,broken clouds
271,Yarim,YE,14.298,44.3779,52.27,33,0,2.57,clear sky
