City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
32,Anuradhapura,LK,2022-02-10 20:33:54,8.3565,80.4173,70.95,97,12,4.54
33,Saint-Francois,FR,2022-02-10 20:33:55,46.4154,3.9054,45.84,86,97,2.3
34,Songea,TZ,2022-02-10 20:33:55,-10.6833,35.65,72.75,78,75,2.3
35,Cabo San Lucas,MX,2022-02-10 20:33:54,22.8909,-109.9124,79.52,54,0,4.61
36,Dingle,PH,2022-02-10 20:33:56,10.9995,122.6711,75.88,83,97,9.84
37,Hithadhoo,MV,2022-02-10 20:33:56,-0.6,73.0833,81.27,71,100,6.96
38,Novoagansk,RU,2022-02-10 20:33:57,61.9449,76.6625,-12.87,99,68,5.7
39,Wanning,CN,2022-02-10 20:33:57,18.8003,110.3967,69.6,92,31,4.25
40,Avarua,CK,2022-02-10 20:33:58,-21.2078,-159.775,80.65,74,20,8.05
41,Punta Arenas,CL,2022-02-10 20:30:39,-53.15,-70.9167,51.91,54,40,31.07
42,Victoria,HK,2022-02-10 20:33:19,22.2855,114.1577,63.25,86,100,11.99
43,Shumskiy,RU,2022-02-10 20:33:58,54.8318,99.1328,-20.49,98,51,2.39
44,Kahului,US,2022-02-10 20:33:59,20.8947,-156.47,77.85,69,7,10.0
45,Waipawa,NZ,2022-02-10 20:33:59,-41.4122,175.5153,67.46,85,100,6.73
46,Souillac,MU,2022-02-10 20:34:00,-20.5167,57.5167,77.38,88,40,2.3
47,Cherskiy,RU,2022-02-10 20:34:00,68.75,161.3,-34.82,99,100,6.53
48,Yellowknife,CA,2022-02-10 20:29:43,62.456,-114.3525,-7.58,81,75,11.5
49,Ribeira Grande,PT,2022-02-10 20:30:52,38.5167,-28.7,59.4,82,20,12.66
50,Touros,BR,2022-02-10 20:34:01,-5.1989,-35.4608,86.9,71,53,13.51
51,Susehri,TR,2022-02-10 20:34:01,40.1644,38.0867,11.86,91,61,3.44
52,Puerto Ayora,EC,2022-02-10 20:34:02,-0.7393,-90.3518,84.16,88,98,7.0
53,Hobart,AU,2022-02-10 20:29:03,-42.8794,147.3294,57.06,66,0,8.05
54,Vaini,TO,2022-02-10 20:34:02,-21.2,-175.2,81.52,81,83,21.88
55,Greenville,US,2022-02-10 20:34:03,35.6127,-77.3663,66.94,24,0,12.66
56,Kulhudhuffushi,MV,2022-02-10 20:34:03,6.6221,73.07,81.03,75,86,10.11
57,Kavieng,PG,2022-02-10 20:34:04,-2.5744,150.7967,80.76,81,70,7.36
58,Ponta Do Sol,PT,2022-02-10 20:29:37,32.6667,-17.1,69.71,55,100,7.85
59,Tequila,MX,2022-02-10 20:34:05,20.8833,-103.8333,80.17,14,0,2.62
60,Aklavik,CA,2022-02-10 20:31:00,68.2191,-135.0107,-17.57,76,100,6.91
61,Bathsheba,BB,2022-02-10 20:34:05,13.2167,-59.5167,83.01,57,20,25.32
62,Seoul,KR,2022-02-10 20:34:06,37.5683,126.9778,24.4,87,0,4.61
63,Bethel,US,2022-02-10 20:34:06,41.3712,-73.414,52.02,50,10,1.99
64,Coquimbo,CL,2022-02-10 20:31:33,-29.9533,-71.3436,71.33,60,100,6.91
65,Petropavlovsk-Kamchatskiy,RU,2022-02-10 20:32:17,53.0452,158.6483,7.39,85,75,8.95
66,Inirida,CO,2022-02-10 20:34:07,3.8653,-67.9239,88.79,52,99,1.88
67,Marsala,IT,2022-02-10 20:34:07,37.7966,12.4352,48.15,87,0,5.75
68,Rayong,TH,2022-02-10 20:34:08,12.8333,101.4333,81.72,99,100,2.28
69,Sorland,NO,2022-02-10 20:34:08,67.667,12.6934,28.47,54,100,25.57
70,Juneau,US,2022-02-10 20:30:14,58.3019,-134.4197,37.4,67,75,8.05
71,Upernavik,GL,2022-02-10 20:32:05,72.7868,-56.1549,-5.62,96,100,6.6
72,Bambous Virieux,MU,2022-02-10 20:34:09,-20.3428,57.7575,77.25,88,40,2.3
73,Norman Wells,CA,2022-02-10 20:34:09,65.282,-126.8329,-11.16,70,100,16.11
74,Provideniya,RU,2022-02-10 20:34:10,64.3833,-173.3,-19.25,93,46,3.83
75,Saskylakh,RU,2022-02-10 20:34:10,71.9167,114.0833,4.78,93,100,13.58
76,Tasiilaq,GL,2022-02-10 20:34:11,65.6145,-37.6368,17.76,58,48,7.61
77,Maningrida,AU,2022-02-10 20:34:11,-12.0667,134.2667,75.52,95,96,6.64
78,Gizo,SB,2022-02-10 20:34:11,-8.103,156.8419,80.91,79,99,6.76
79,Bonwapitse,BW,2022-02-10 20:34:12,-23.0766,26.7037,72.41,64,60,6.4
80,Saint-Pierre,RE,2022-02-10 20:34:12,-21.3393,55.4781,74.88,78,20,4.61
81,Ginda,IN,2022-02-10 20:34:13,30.6945,78.4932,33.58,39,0,8.08
82,Qaanaaq,GL,2022-02-10 20:34:13,77.484,-69.3632,-19.95,56,13,6.93
83,Laguna,US,2022-02-10 20:34:13,38.421,-121.4238,76.66,52,0,3.44
84,Kodiak,US,2022-02-10 20:34:14,57.79,-152.4072,27.91,80,100,0.0
85,Balkanabat,TM,2022-02-10 20:34:14,39.5108,54.3671,54.28,56,100,7.16
86,Arraial Do Cabo,BR,2022-02-10 20:32:49,-22.9661,-42.0278,71.46,88,100,4.61
87,Roald,NO,2022-02-10 20:34:15,62.5833,6.1333,34.9,64,40,19.57
